Name,Wins,Losses,OT Losses,Goals For,Goals Against,Goal Difference
Boston Bruins,44,24,0,299,264,35
Buffalo Sabres,31,30,0,292,278,14
Calgary Flames,46,26,0,344,263,81
Chicago Blackhawks,49,23,0,284,211,73
Los Angeles Kings,46,24,0,340,254,86
Montreal Canadiens,39,30,0,273,249,24
New Jersey Devils,32,33,0,272,264,8
New York Rangers,36,31,0,297,265,32
St. Louis Blues,47,22,0,310,250,60
Chicago Blackhawks,36,29,0,257,236,21
Detroit Red Wings,43,25,0,320,256,64
Montreal Canadiens,41,28,0,267,207,60
New Jersey Devils,38,31,0,289,259,30
New York Rangers,50,25,0,321,246,75
St. Louis Blues,36,33,0,279,266,13
Vancouver Canucks,42,26,0,285,250,35
Washington Capitals,45,27,0,330,275,55
Winnipeg Jets,33,32,0,251,244,7
Boston Bruins,51,26,0,332,268,64
Buffalo Sabres,38,36,0,335,297,38
Calgary Flames,43,30,0,322,282,40
Chicago Blackhawks,47,25,0,279,230,49
Detroit Red Wings,47,28,0,369,280,89
Montreal Canadiens,48,30,0,326,280,46
New Jersey Devils,40,37,0,308,299,9
New York Islanders,40,37,0,335,297,38
Pittsburgh Penguins,56,21,0,367,268,99
St. Louis Blues,37,36,0,282,278,4
Toronto Maple Leafs,44,29,0,288,241,47
Vancouver Canucks,46,29,0,346,278,68
Washington Capitals,43,34,0,325,286,39
Boston Bruins,42,29,0,289,252,37
Buffalo Sabres,43,32,0,282,218,64
Calgary Flames,42,29,0,302,256,46
Chicago Blackhawks,39,36,0,254,240,14
Dallas Stars,42,29,0,286,265,21
Detroit Red Wings,46,30,0,356,275,81
Montreal Canadiens,41,29,0,283,248,35
New Jersey Devils,47,25,0,306,220,86
New York Islanders,36,36,0,282,264,18
New York Rangers,52,24,0,299,231,68
Pittsburgh Penguins,44,27,0,299,285,14
Toronto Maple Leafs,43,29,0,280,243,37
Vancouver Canucks,41,40,0,279,276,3
Washington Capitals,39,35,0,277,263,14
Boston Bruins,27,18,0,150,127,23
Buffalo Sabres,22,19,0,130,119,11
Calgary Flames,24,17,0,163,135,28
Chicago Blackhawks,24,19,0,156,115,41
Dallas Stars,17,23,0,136,135,1
Detroit Red Wings,33,11,0,180,117,63
New Jersey Devils,22,18,0,136,121,15
New York Rangers,22,23,0,139,134,5
Philadelphia Flyers,28,16,0,150,132,18
Pittsburgh Penguins,29,16,0,181,158,23
Quebec Nordiques,30,13,0,185,134,51
St. Louis Blues,28,15,0,178,135,43
Vancouver Canucks,18,18,0,153,148,5
